sample	genes	cells	median_UMI	median_genes	UMI_lt_1000	genes_lt_200	versioned_gene_IDs	duplicate_gene_IDs	duplicate_cell_IDs
LLU_A	21906	3045	39558	5306	53	10	0	0	0
LLU_B	19469	1439	26222	3976	36	5	0	0	0
