tumor_fraction	n	n_groups	n_tumor	n_normal	prevalence	raw_AUROC	raw_AUPRC_AP	calibrated_AUROC	calibrated_AUPRC_AP	Brier_null	Brier_platt	Brier_isotonic	Brier_cal	Delta_Brier_cal_minus_null	logloss_null	logloss_platt	logloss_isotonic	logloss_cal	Delta_logloss_cal_minus_null	ECE_null	ECE_platt	ECE_isotonic	ECE_cal	indeterminate_fraction	normal_call_fraction	malignant_call_fraction	sensitivity_determinate	specificity_determinate	PPV	NPV
0.01	9625	1066	97	9528	0.0100779220779221	0.988702857340708	0.616548821670788	0.988105594363222	0.596115982894376	0.0730268097153225	0.00825235143799194	0.00874026826890908	0.00825235143799194	-0.0647744582773305	0.313174316449223	0.035118418073809	0.0586515496275118	0.035118418073809	-0.278055898375414	0.251095703730337	0.01046571999913	0.00978729499661045	0.01046571999913	0	0.980363636363636	0.0196363636363636	0.824742268041237	0.988560033585222	0.423280423280423	0.998198389147944
0.05	9623	1447	478	9145	0.0496726592538709	0.995405953821623	0.948538138749725	0.995222713557263	0.942205604583443	0.0919466535818183	0.0122893278866758	0.0152815698426514	0.0122893278866758	-0.0796573256951425	0.354367154034269	0.0625894431140819	0.0894468288510121	0.0625894431140819	-0.291777710920187	0.211497915658914	0.0283182104693794	0.0296098697129578	0.0283182104693794	0	0.934116179985451	0.0658838200145485	0.94979079497908	0.980317113176599	0.71608832807571	0.99733007008566
0.1	9618	1931	962	8656	0.100020794343938	0.994958732193021	0.968513972464685	0.994657425803452	0.965707727205331	0.115987859086297	0.0149144079400692	0.0166678703458975	0.0149144079400692	-0.101073451146228	0.406703344228821	0.0677073970089089	0.0904174530253781	0.0677073970089089	-0.338995947219912	0.161160577501344	0.0208512872485695	0.0216602865862182	0.0208512872485695	0	0.887502599292992	0.112497400707008	0.943866943866944	0.979898336414048	0.839186691312385	0.993673851921275
0.2	9638	2906	1937	7701	0.2009753060801	0.995755132271004	0.98633706944602	0.995422488024774	0.98511263707211	0.164208134640254	0.0173233916642721	0.0180434951594556	0.0173233916642721	-0.146884742975982	0.511681842993137	0.0721848188527054	0.0898047226770512	0.0721848188527054	-0.439497024140432	0.0602019173052258	0.0144417122416643	0.0139916412053445	0.0144417122416643	0	0.794044407553434	0.205955592446566	0.955085183273103	0.982469809115699	0.931989924433249	0.988631909055272
0.4	9644	3191	3878	5766	0.402115304852758	0.994121924024402	0.992440752831621	0.993918485360913	0.992081457452806	0.260299628625754	0.0277545864371501	0.0260517376071491	0.0277545864371501	-0.232545042188604	0.720886504474782	0.100642193822668	0.107473779011404	0.100642193822668	-0.620244310652114	0.140946591206331	0.0143384043093796	0.0125732476184313	0.0143384043093796	0	0.608875985068436	0.391124014931564	0.94559051057246	0.981789802289282	0.972163308589608	0.964066757493188
0.8	9675	3663	7750	1925	0.801033591731266	0.995823443653121	0.998894596394148	0.995642128194386	0.998823520969373	0.450848341619988	0.0483375668234149	0.0402932491116349	0.0483375668234149	-0.402510774796574	1.13572612067947	0.152986486878303	0.132120783772403	0.152986486878303	-0.98273963380117	0.539878402461466	0.0587322510350684	0.0586109144560093	0.0587322510350684	0	0.240413436692506	0.759586563307494	0.943225806451613	0.97974025974026	0.994693155531365	0.810834049871023
