tumor_fraction	n_replicates	mean_AUROC	median_AUROC	min_AUROC	max_AUROC	mean_AUPRC_AP	median_AUPRC_AP	mean_prevalence_scored	mean_filtered_fraction	median_burden_delta
0.01	1	0.990366492146597	0.990366492146597	0.990366492146597	0.990366492146597	0.482248575341796	0.482248575341796	0.0103626943005181	0.035	0.0623428492041868
0.05	1	0.99345513413506	0.99345513413506	0.99345513413506	0.99345513413506	0.903917397222218	0.903917397222218	0.0486039296794209	0.033	0.0849855084552906
0.1	1	0.993607295064403	0.993607295064403	0.993607295064403	0.993607295064403	0.956657869169823	0.956657869169823	0.100726895119419	0.037	0.103408750405786
0.2	1	0.997736499118637	0.997736499118637	0.997736499118637	0.997736499118637	0.991547747311517	0.991547747311517	0.200828157349897	0.034	0.0867292519736139
0.4	1	0.999416332089354	0.999416332089354	0.999416332089354	0.999416332089354	0.999160507869954	0.999160507869954	0.40702479338843	0.032	0.0700607964154277
0.8	1	0.997734341484341	0.997734341484341	0.997734341484341	0.997734341484341	0.999440671643743	0.999440671643743	0.801857585139319	0.031	0.0701341752650256
