tumor_fraction	n_replicates	mean_AUROC	median_AUROC	mean_AUPRC_AP	median_AUPRC_AP	mean_filtered_fraction
0	1					0.037
0.01	10	0.992465173491043	0.995072600715294	0.665014918189958	0.666094784844785	0.0375
0.05	10	0.995359145653405	0.995633217670885	0.949020075267429	0.946044957541594	0.0377
0.1	10	0.994936197501019	0.996061832460201	0.968714042572895	0.972106190352556	0.0382
0.2	10	0.996043375028487	0.996803872613265	0.986759490565584	0.987858498879107	0.0362
0.4	10	0.99397219535515	0.996801554560587	0.992349494703626	0.994987059901602	0.0356
0.8	10	0.995880719087385	0.995901557597175	0.998912060705196	0.99898105935047	0.0325
