tumor_fraction	n_replicates	mean_AUROC	median_AUROC	min_AUROC	max_AUROC	mean_AUPRC_AP	median_AUPRC_AP	mean_prevalence	mean_unscored_fraction	median_burden_delta
0.01	1	0.997979797979798	0.997979797979798	0.997979797979798	0.997979797979798	0.815624098124098	0.815624098124098	0.01	0	0.0705859782230046
0.05	1	0.998652631578947	0.998652631578947	0.998652631578947	0.998652631578947	0.973609234206679	0.973609234206679	0.05	0	0.0748680099697698
0.1	1	0.996877777777778	0.996877777777778	0.996877777777778	0.996877777777778	0.976518616250125	0.976518616250125	0.1	0	0.0742416305086081
0.2	1	0.996975	0.996975	0.996975	0.996975	0.989527609450198	0.989527609450198	0.2	0	0.0745933428031639
0.4	1	0.998625	0.998625	0.998625	0.998625	0.997887484413364	0.997887484413364	0.4	0	0.0720265517864054
0.8	1	0.99676875	0.99676875	0.99676875	0.99676875	0.999130507212259	0.999130507212259	0.8	0	0.0735863265255766
